county,year,number_sales,sales_percentage,population,pop_percentage
,,,,2181654,5.52
,,,,211632,0.54
,,,,3298634,8.34
,,,,873965,2.21
,,,,81575,0.21
,,,,764442,1.93
,,,,152486,0.39
,,,,32730,0.08
,,,,40474,0.1
,,,,10014009,25.33
,,,,274739,0.7
,,,,91727,0.23
,,,,1585055,4.01
,,,,156255,0.4
,,,,909235,2.3
,,,,448229,1.13
,,,,282424,0.71
,,,,102241,0.26
,,,,3236,0.01
,,,,262321,0.66
,,,,272182,0.69
,,,,281202,0.71
,,,,138019,0.35
,,,,13195,0.03
,,,,270861,0.69
,,,,216403,0.55
,,,,21839,0.06
,,,,191185,0.48
,,,,55620,0.14
,,,,779233,1.97
,,,,843843,2.13
,,,,182155,0.46
,,,,1682353,4.26
,,,,68163,0.17
,,,,19790,0.05
,,,,44076,0.11
,,,,275452,0.7
,,,,136463,0.35
,,,,45292,0.11
,,,,453491,1.15
,,,,16112,0.04
,,,,99633,0.25
,,,,439035,1.11
,,,,473117,1.2
,,,,19016,0.05
,,,,488863,1.24
,,,,91726,0.23
,,,,1008654,2.55
,,,,2418185,6.12
,,,,64209,0.16
,,,,91021,0.23
,,,,8700,0.02
,,,,65829,0.17
,,,,404739,1.02
,,,,3186989,8.06
,,,,17131,0.04
,,,,273527,0.69
,,,,90198,0.23
,,,,1165927,2.95
,,,,27743,0.07
,,,,91601,0.23
,,,,1201,0
,,,,1204,0
,,,,1936259,4.9
,,,,1207,0
