county,year,number_sales,sales_percentage,population,pop_percentage,county_count,state_count,total_incentives,county_max,state_max,total_max
Mendocino,2016,77,0.11,265181,0.68,0,6,6,0,25500,25500
Mendocino,2017,99,0.11,264753,0.67,0,6,6,0,25500,25500
Mendocino,2018,159,0.1,264944,0.67,0,6,6,0,25500,25500
Mendocino,2019,107,0.07,263917,0.67,1,6,7,500,25500,26000
Mendocino,2020,112,0.08,262410,0.66,1,9,10,500,27000,27500
Mendocino,2021,190,0.08,260416,0.66,1,9,10,500,27000,27500
Mendocino,2022,106,0.07,91601,0.23,1,7,8,500,11500,12000
Merced,2015,47,0.07,17732,0.05,0,6,6,0,25500,25500
Merced,2016,59,0.08,17644,0.05,0,6,6,0,25500,25500
Merced,2017,92,0.1,17502,0.04,0,6,6,0,25500,25500
Merced,2018,147,0.09,17345,0.04,0,6,6,0,25500,25500
Merced,2019,149,0.1,17213,0.04,10,6,16,9800,25500,35300
Merced,2020,169,0.12,17123,0.04,10,9,19,9800,27000,36800
Merced,2021,429,0.17,17044,0.04,10,9,19,9800,27000,36800
Merced,2022,294,0.19,281202,0.71,10,7,17,9800,11500,21300
Modoc,2017,1,0.0,91609,0.23,0,6,6,0,25500,25500
Modoc,2021,3,0.0,90806,0.23,0,9,9,0,27000,27000
Mono,2015,3,0.0,267099,0.69,0,6,6,0,25500,25500
Mono,2016,6,0.01,268701,0.69,0,6,6,0,25500,25500
Mono,2017,3,0.0,272610,0.69,0,6,6,0,25500,25500
Mono,2018,11,0.01,274871,0.7,0,6,6,0,25500,25500
Mono,2019,11,0.01,278157,0.7,2,6,8,3000,25500,28500
Mono,2020,22,0.02,280873,0.71,2,9,11,3000,27000,30000
Mono,2021,37,0.01,283193,0.72,2,9,11,3000,27000,30000
Mono,2022,19,0.01,13195,0.03,2,7,9,3000,11500,14500
Monterey,2015,274,0.43,8952,0.02,0,6,6,0,25500,25500
Monterey,2016,300,0.41,8795,0.02,0,6,6,0,25500,25500
Monterey,2017,395,0.43,8691,0.02,0,6,6,0,25500,25500
Monterey,2018,678,0.44,8755,0.02,0,6,6,0,25500,25500
Monterey,2019,582,0.4,8709,0.02,0,6,6,0,25500,25500
Monterey,2020,677,0.47,8703,0.02,0,9,9,0,27000,27000
Monterey,2021,1344,0.54,8592,0.02,0,9,9,0,27000,27000
Monterey,2022,819,0.52,439035,1.11,0,7,7,0,11500,11500
Napa,2015,220,0.34,13548,0.03,1,6,7,5000,25500,30500
Napa,2016,234,0.32,13389,0.03,1,6,7,5000,25500,30500
Napa,2017,286,0.31,13355,0.03,1,6,7,5000,25500,30500
Napa,2018,503,0.32,13222,0.03,1,6,7,5000,25500,30500
Napa,2019,460,0.31,13227,0.03,3,6,9,14507,25500,40007
Napa,2020,499,0.35,13185,0.03,3,9,12,14507,27000,41507
Napa,2021,911,0.37,13073,0.03,3,9,12,14507,27000,41507
Napa,2022,525,0.33,138019,0.35,3,7,10,14507,11500,26007
Nevada,2015,79,0.12,433478,1.11,0,6,6,0,25500,25500
Nevada,2016,84,0.12,437116,1.12,0,6,6,0,25500,25500
Nevada,2017,97,0.1,438011,1.11,0,6,6,0,25500,25500
Nevada,2018,162,0.1,439618,1.11,0,6,6,0,25500,25500
Nevada,2019,159,0.11,440874,1.12,1,6,7,500,25500,26000
Nevada,2020,245,0.17,439008,1.11,1,9,10,500,27000,27500
Nevada,2021,373,0.15,439703,1.12,1,9,10,500,27000,27500
Nevada,2022,210,0.13,102241,0.26,1,7,8,500,11500,12000
Orange,2015,7329,11.46,140955,0.36,0,6,6,0,25500,25500
Orange,2016,8951,12.35,141089,0.36,0,6,6,0,25500,25500
Orange,2017,11398,12.29,140299,0.36,0,6,6,0,25500,25500
Orange,2018,19755,12.76,139558,0.35,1,6,7,1000,25500,26500
Orange,2019,19066,13.03,138965,0.35,4,6,10,10500,25500,36000
Orange,2020,19104,13.29,138433,0.35,4,9,13,10500,27000,37500
Orange,2021,31917,12.9,137600,0.35,6,9,15,10500,27000,37500
Orange,2022,20443,12.87,3186989,8.06,6,7,13,10500,11500,22000
Placer,2015,456,0.71,100456,0.26,0,6,6,0,25500,25500
Placer,2016,480,0.66,100919,0.26,0,6,6,0,25500,25500
Placer,2017,622,0.67,101384,0.26,0,6,6,0,25500,25500
Placer,2018,1179,0.76,101920,0.26,0,6,6,0,25500,25500
Placer,2019,1235,0.84,102298,0.26,6,6,12,1750,25500,27250
Placer,2020,1465,1.02,102392,0.26,6,9,15,1750,27000,28750
Placer,2021,2699,1.09,102033,0.26,6,9,15,1750,27000,28750
Placer,2022,1802,1.13,404739,1.02,6,7,13,1750,11500,13250
Plumas,2015,1,0.0,3155895,8.11,0,6,6,0,25500,25500
Plumas,2016,5,0.01,3170359,8.1,0,6,6,0,25500,25500
Plumas,2017,4,0.0,3188158,8.11,0,6,6,0,25500,25500
Plumas,2018,8,0.01,3193464,8.09,0,6,6,0,25500,25500
