county,year,number_sales,sales_percentage,population,pop_percentage,county_count,state_count,total_incentives,county_max,state_max,total_max,previous_evs,household_income,importance_of_gge,homeowner,education,commute_distance,age,gender,number_of_vehicles,annual_miles
Napa,2015,220,0.34,13548,0.03,1,6,7,5000,25500,30500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Napa,2016,234,0.32,13389,0.03,1,6,7,5000,25500,30500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Napa,2017,286,0.31,13355,0.03,1,6,7,5000,25500,30500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Nevada,2015,79,0.12,433478,1.11,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Nevada,2016,84,0.12,437116,1.12,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Nevada,2017,97,0.1,438011,1.11,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Orange,2015,7329,11.46,140955,0.36,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Orange,2016,8951,12.35,141089,0.36,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Orange,2017,11398,12.29,140299,0.36,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Placer,2015,456,0.71,100456,0.26,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Placer,2016,480,0.66,100919,0.26,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Placer,2017,622,0.67,101384,0.26,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Plumas,2015,1,0.0,3155895,8.11,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Plumas,2016,5,0.01,3170359,8.1,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Plumas,2017,4,0.0,3188158,8.11,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Riverside,2015,1608,2.51,376215,0.97,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
