County,Incentive Type,EV Type,Max Amount,Requirements,Low Income,One-time Use,Program Name or Provider,Start Date,End Date,Customer
Stanislaus,Rebate,FCEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Stanislaus,Rebate,PHEV,2500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Stanislaus,Rebate,PZEV,2000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Stanislaus,Rebate,SULEV,1500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Stanislaus,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Stanislaus,Rebate,Any,500,No,No,No,Turlock Irrigation District,1/1/2019,,
Stanislaus,Rebate,Any,700,Yes,Yes,No,Turlock Irrigation District,1/1/2019,,
Stanislaus,Rebate,EV charger,300,No,No,No,Turlock Irrigation District,1/1/2019,,
Stanislaus,Rebate,EV charger,100,Yes,Yes,No,Turlock Irrigation District,1/1/2019,,
Stanislaus,Rebate,EV charger,500,Yes,No,Yes,Modesto Irrigation District,1/1/2019,,
Trinity,Rebate,EV charger,500,Yes,No,Yes,Trinity P.U.D.,,,
Tulare,Rebate,BEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Tulare,Rebate,FCEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Tulare,Rebate,PHEV,2500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Tulare,Rebate,PZEV,2000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Tulare,Rebate,SULEV,1500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Tulare,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Tulare,Rebate,Any,1000,Yes,No,Yes,Southern California Edison Pre-Owned EV Rebate,,,
Tulare,Rebate,Any,3000,Yes,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,,
Ventura,Rebate,Any,1000,Yes,No,Yes,Southern California Edison Pre-Owned EV Rebate,,,
Ventura,Rebate,Any,3000,Yes,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,,
Washoe,Rebate,BEV,500,Yes,No,Yes,Plumas-Sierra Rural Electric Cooperative,,,
Washoe,Rebate,PHEV,500,Yes,No,Yes,Plumas-Sierra Rural Electric Cooperative,,,
Yolo,Grant,Any,5000,Yes,Yes,Yes,CHDC Vehicle Financing,,,
