Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles,ZIP,Fuel Type
2015,Los Angeles,Electric,Volkswagen,e-Golf,644,91741,Electric
2015,Los Angeles,PHEV,BMW,i3 REx,1436,91744,Electric
2015,Los Angeles,PHEV,BMW,i8,171,91745,Electric
2015,Los Angeles,PHEV,BMW,X5,33,91748,Electric
2015,Los Angeles,PHEV,Cadillac,ELR,44,91750,Electric
2015,Los Angeles,PHEV,Chevrolet,Volt,2359,91752,Electric
2015,Los Angeles,PHEV,Fisker,Karma,2,91754,Electric
2015,Los Angeles,PHEV,Ford,C-MAX Energi,784,91761,Electric
2015,Los Angeles,PHEV,Ford,Fusion Energi,1166,91762,Electric
2015,Los Angeles,PHEV,Honda,Accord PHEV,23,91764,Electric
2015,Los Angeles,PHEV,Hyundai,Sonata PHEV,10,91765,Electric
2015,Los Angeles,PHEV,McLaren,P1,3,91767,Electric
2015,Los Angeles,PHEV,Mercedes-Benz,S-Class,28,91770,Electric
2015,Los Angeles,PHEV,Porsche,918 Spyder,9,91773,Electric
2015,Los Angeles,PHEV,Porsche,Cayenne,99,91775,Electric
2015,Los Angeles,PHEV,Porsche,Panamera,39,91780,Electric
2015,Los Angeles,PHEV,Toyota,Prius PHEV,1328,91784,Electric
2015,Los Angeles,Hydrogen,Hyundai,Tucson Fuel Cell,21,91786,Electric
2015,Los Angeles,Hydrogen,Toyota,Mirai,43,91789,Electric
2015,Madera,Electric,Chevrolet,Spark EV,16,91790,Electric
2015,Madera,Electric,FIAT,500e,12,91791,Electric
2015,Madera,Electric,Ford,Focus,1,91801,Electric
2015,Madera,Electric,Kia,Soul EV,2,91901,Electric
2015,Madera,Electric,Nissan,Leaf,6,91902,Electric
2015,Madera,Electric,Tesla,Model S,3,91906,Electric
2015,Madera,Electric,Volkswagen,e-Golf,1,91910,Electric
2015,Madera,PHEV,Chevrolet,Volt,5,91911,Electric
2015,Madera,PHEV,Ford,C-MAX Energi,2,91913,Electric
2015,Madera,PHEV,Ford,Fusion Energi,3,91914,Electric
2015,Madera,PHEV,Toyota,Prius PHEV,2,91915,Electric
2015,Marin,Electric,BMW,i3,30,91932,Electric
2015,Marin,Electric,Chevrolet,Spark EV,25,91935,Electric
2015,Marin,Electric,FIAT,500e,212,91941,Electric
2015,Marin,Electric,Ford,Focus,14,91942,Electric
2015,Marin,Electric,Kia,Soul EV,10,91945,Electric
2015,Marin,Electric,Mercedes-Benz,B-Class,24,91950,Electric
2015,Marin,Electric,Mitsubishi,i-MiEV,3,91977,Electric
2015,Marin,Electric,Nissan,Leaf,68,92007,Electric
2015,Marin,Electric,Smart,Fortwo Electric Drive,10,92008,Electric
2015,Marin,Electric,Tesla,Model S,280,92009,Electric
2015,Marin,Electric,Toyota,RAV4 EV,1,92010,Electric
2015,Marin,Electric,Volkswagen,e-Golf,82,92011,Electric
2015,Marin,PHEV,BMW,i3 REx,70,92014,Electric
2015,Marin,PHEV,BMW,i8,7,92018,Electric
2015,Marin,PHEV,BMW,X5,1,92019,Electric
2015,Marin,PHEV,Chevrolet,Volt,79,92020,Electric
2015,Marin,PHEV,Ford,C-MAX Energi,69,92021,Electric
2015,Marin,PHEV,Ford,Fusion Energi,59,92024,Electric
2015,Marin,PHEV,Honda,Accord PHEV,1,92025,Electric
2015,Marin,PHEV,Porsche,Cayenne,5,92026,Electric
2015,Marin,PHEV,Toyota,Prius PHEV,55,92027,Electric
2015,Mariposa,Electric,Chevrolet,Spark EV,1,92028,Electric
2015,Mariposa,Electric,Tesla,Model S,2,92029,Electric
2015,Mariposa,PHEV,Chevrolet,Volt,1,92037,Electric
2015,Mendocino,Electric,Chevrolet,Spark EV,3,92054,Electric
2015,Mendocino,Electric,FIAT,500e,3,92056,Electric
2015,Mendocino,Electric,Mercedes-Benz,B-Class,1,92057,Electric
2015,Mendocino,Electric,Nissan,Leaf,10,92058,Electric
2015,Mendocino,Electric,Smart,Fortwo Electric Drive,2,92064,Electric
2015,Mendocino,Electric,Tesla,Model S,15,92065,Electric
2015,Mendocino,Electric,Volkswagen,e-Golf,2,92067,Electric
2015,Mendocino,PHEV,BMW,i3 REx,3,92069,Electric
2015,Mendocino,PHEV,Chevrolet,Volt,16,92071,Electric
2015,Mendocino,PHEV,Ford,C-MAX Energi,14,92075,Electric
2015,Mendocino,PHEV,Ford,Fusion Energi,13,92078,Electric
2015,Mendocino,PHEV,Toyota,Prius PHEV,14,92081,Electric
2015,Merced,Electric,BMW,i3,1,92082,Electric
