Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles,ZIP,Fuel Type
2015,Madera,BEV,Tesla,Model S,3,91906,BEV
2015,Madera,BEV,Volkswagen,e-Golf,1,91910,BEV
2015,Madera,PHEV,Chevrolet,Volt,5,91911,BEV
2015,Madera,PHEV,Ford,C-MAX Energi,2,91913,BEV
2015,Madera,PHEV,Ford,Fusion Energi,3,91914,BEV
2015,Madera,PHEV,Toyota,Prius PHEV,2,91915,BEV
2015,Marin,BEV,BMW,i3,30,91932,BEV
2015,Marin,BEV,Chevrolet,Spark EV,25,91935,BEV
2015,Marin,BEV,FIAT,500e,212,91941,BEV
2015,Marin,BEV,Ford,Focus,14,91942,BEV
2015,Marin,BEV,Kia,Soul EV,10,91945,BEV
2015,Marin,BEV,Mercedes-Benz,B-Class,24,91950,BEV
2015,Marin,BEV,Mitsubishi,i-MiEV,3,91977,BEV
2015,Marin,BEV,Nissan,Leaf,68,92007,BEV
2015,Marin,BEV,Smart,Fortwo BEV Drive,10,92008,BEV
2015,Marin,BEV,Tesla,Model S,280,92009,BEV
2015,Marin,BEV,Toyota,RAV4 EV,1,92010,BEV
2015,Marin,BEV,Volkswagen,e-Golf,82,92011,BEV
2015,Marin,PHEV,BMW,i3 REx,70,92014,BEV
2015,Marin,PHEV,BMW,i8,7,92018,BEV
2015,Marin,PHEV,BMW,X5,1,92019,BEV
2015,Marin,PHEV,Chevrolet,Volt,79,92020,BEV
2015,Marin,PHEV,Ford,C-MAX Energi,69,92021,BEV
2015,Marin,PHEV,Ford,Fusion Energi,59,92024,BEV
2015,Marin,PHEV,Honda,Accord PHEV,1,92025,BEV
2015,Marin,PHEV,Porsche,Cayenne,5,92026,BEV
2015,Marin,PHEV,Toyota,Prius PHEV,55,92027,BEV
2015,Mariposa,BEV,Chevrolet,Spark EV,1,92028,BEV
2015,Mariposa,BEV,Tesla,Model S,2,92029,BEV
2015,Mariposa,PHEV,Chevrolet,Volt,1,92037,BEV
